Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-9.652159457840809864e+01
4.663622929687500118e+02,-1.072549203328252219e+02
4.663625859375000005e+02,-9.783288765614545923e+01
4.663628789062499891e+02,-9.289409197028861342e+01
4.663631718750000346e+02,-1.074453824733555223e+02
4.663634648437500232e+02,-1.005897841483914590e+02
4.663637578125000118e+02,-9.943278062764747460e+01
4.663640507812500005e+02,-1.034968515280059194e+02
4.663643437499999891e+02,-9.190794521716972554e+01
4.663646367187500346e+02,-9.012558078765857772e+01
4.663649296875000232e+02,-9.673906576818401959e+01
4.663652226562500118e+02,-9.339912884140467497e+01
4.663655156250000005e+02,-9.296186778473776258e+01
4.663658085937499891e+02,-9.711243344284866907e+01
4.663661015625000346e+02,-9.836742680402755923e+01
4.663663945312500232e+02,-1.047077184098752980e+02
4.663666875000000118e+02,-9.896094091076986388e+01
4.663669804687500005e+02,-9.047681297675507039e+01
4.663672734374999891e+02,-9.071551288324610596e+01
4.663675664062500346e+02,-1.016501669067902753e+02
4.663678593750000232e+02,-9.413315260333970969e+01
4.663681523437500118e+02,-9.287458444171758742e+01
4.663684453125000005e+02,-9.657133524965627203e+01
4.663687382812499891e+02,-9.490746069262064566e+01
4.663690312500000346e+02,-1.060973603757684032e+02
4.663693242187500232e+02,-9.505792327382452811e+01
4.663696171875000118e+02,-9.329152897416290102e+01
4.663699101562500005e+02,-9.684323785490002479e+01
4.663702031249999891e+02,-1.007458896796269414e+02
4.663704960937500346e+02,-9.923934450197492652e+01
4.663707890625000232e+02,-1.039642586574133674e+02
4.663710820312500118e+02,-9.460422624675197767e+01
4.663713750000000005e+02,-9.038920663594454652e+01
4.663716679687499891e+02,-1.026761257210510223e+02
4.663719609375000346e+02,-9.739808378865902228e+01
4.663722539062500232e+02,-9.274007696097767450e+01
4.663725468750000118e+02,-9.984774309550587645e+01
4.663728398437500005e+02,-1.149729200876652158e+02
4.663731328124999891e+02,-9.719681599314098719e+01
4.663734257812500346e+02,-9.777817212795437740e+01
4.663737187500000232e+02,-9.396217092470857324e+01
4.663740117187500118e+02,-9.138597583455467088e+01
4.663743046875000005e+02,-9.833438258814383914e+01
4.663745976562499891e+02,-9.837030908245039029e+01
4.663748906250000346e+02,-9.018561347942828377e+01
4.663751835937500232e+02,-9.491580436040683821e+01
4.663754765625000118e+02,-1.023013843027960377e+02
4.663757695312500005e+02,-9.542492877277166485e+01
