Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-1.071031885402221633e+02
4.663622929687500118e+02,-1.006996547773863426e+02
4.663625859375000005e+02,-1.035711723551944061e+02
4.663628789062499891e+02,-1.017402389444060589e+02
4.663631718750000346e+02,-9.789166798856248874e+01
4.663634648437500232e+02,-9.663240877994653033e+01
4.663637578125000118e+02,-1.061125842517778182e+02
4.663640507812500005e+02,-1.019683074799496012e+02
4.663643437499999891e+02,-9.426296458407463774e+01
4.663646367187500346e+02,-1.007485079746396650e+02
4.663649296875000232e+02,-1.088826341718357185e+02
4.663652226562500118e+02,-1.048165430296256204e+02
4.663655156250000005e+02,-9.840568677461266134e+01
4.663658085937499891e+02,-9.939907434185488455e+01
4.663661015625000346e+02,-1.058621076666337046e+02
4.663663945312500232e+02,-9.750845358766110849e+01
4.663666875000000118e+02,-9.414789804237513238e+01
4.663669804687500005e+02,-9.555306335616438673e+01
4.663672734374999891e+02,-9.788815179407320954e+01
4.663675664062500346e+02,-1.012037369900414916e+02
4.663678593750000232e+02,-1.007379457512769250e+02
4.663681523437500118e+02,-9.401939679138860129e+01
4.663684453125000005e+02,-9.635590512839095823e+01
4.663687382812499891e+02,-1.054581184792348836e+02
4.663690312500000346e+02,-9.622292681115064283e+01
4.663693242187500232e+02,-9.560178864134591947e+01
4.663696171875000118e+02,-9.665738328187478601e+01
4.663699101562500005e+02,-1.004754055382052513e+02
4.663702031249999891e+02,-1.097959082480330721e+02
4.663704960937500346e+02,-1.089745176407190854e+02
4.663707890625000232e+02,-1.050995354348058868e+02
4.663710820312500118e+02,-1.001837375469172571e+02
4.663713750000000005e+02,-1.099975836298586955e+02
4.663716679687499891e+02,-1.039382310393017264e+02
4.663719609375000346e+02,-1.086118635095518670e+02
4.663722539062500232e+02,-1.049535726331135521e+02
4.663725468750000118e+02,-1.101808476102328740e+02
4.663728398437500005e+02,-1.061211915489827220e+02
4.663731328124999891e+02,-1.028800421393907385e+02
4.663734257812500346e+02,-1.054527287153484565e+02
4.663737187500000232e+02,-1.012719646614098110e+02
4.663740117187500118e+02,-1.082328346771369922e+02
4.663743046875000005e+02,-1.010009799830354211e+02
4.663745976562499891e+02,-9.747832331251836990e+01
4.663748906250000346e+02,-1.001783193614005825e+02
4.663751835937500232e+02,-1.011472010040908458e+02
4.663754765625000118e+02,-9.711437132184173038e+01
4.663757695312500005e+02,-9.809351714689562129e+01
4.663760624999999891e+02,-1.008836065163273901e+02
4.663763554687500346e+02,-1.011105216350421330e+02
4.663766484375000232e+02,-1.027981274986485687e+02
4.663769414062500118e+02,-1.051793329696113801e+02
4.663772343750000005e+02,-9.927669592523349706e+01
4.663775273437499891e+02,-9.786946438603609977e+01
4.663778203125000346e+02,-1.127810373152699128e+02
4.663781132812500232e+02,-1.029659073284063595e+02
4.663784062500000118e+02,-9.797998614696791719e+01
4.663786992187500005e+02,-1.156365244330947775e+02
4.663789921874999891e+02,-1.015375643121662961e+02
4.663792851562500346e+02,-9.849241470300916035e+01
4.663795781250000232e+02,-9.591340541812890308e+01
4.663798710937500118e+02,-1.017541324054699032e+02
4.663801640625000005e+02,-1.061729954117541439e+02
4.663804570312499891e+02,-1.064260391890576614e+02
4.663807500000000346e+02,-9.552343208474002267e+01
4.663810429687500232e+02,-1.037076317548087303e+02
4.663813359375000118e+02,-9.899167240814603019e+01
4.663816289062500005e+02,-1.043085722968047264e+02
4.663819218749999891e+02,-1.030661687502664847e+02
4.663822148437500346e+02,-1.005239267993676577e+02
4.663825078125000232e+02,-1.035620370059514670e+02
4.663828007812500118e+02,-1.071099574426023366e+02
4.663830937500000005e+02,-1.087164540234777377e+02
4.663833867187499891e+02,-1.121396947330147214e+02
4.663836796875000346e+02,-1.025537958245057126e+02
4.663839726562500232e+02,-9.465713325896930996e+01
4.663842656250000118e+02,-9.723629897502986807e+01
4.663845585937500005e+02,-1.053744330172062860e+02
4.663848515624999891e+02,-1.019253140276179010e+02
4.663851445312500346e+02,-1.033269726473384367e+02
4.663854375000000232e+02,-1.084931202233359784e+02
4.663857304687500118e+02,-1.027402035522664079e+02
4.663860234375000005e+02,-9.884622656901476034e+01
4.663863164062499891e+02,-9.569414225845144983e+01
4.663866093750000346e+02,-9.983923950229269906e+01
4.663869023437500232e+02,-1.036529458248446929e+02
4.663871953125000118e+02,-9.533128642526105523e+01
4.663874882812500005e+02,-1.037477423226026758e+02
4.663877812499999891e+02,-1.049836819356805506e+02
4.663880742187500346e+02,-1.019522377378634133e+02
4.663883671875000232e+02,-1.025316248776872072e+02
4.663886601562500118e+02,-1.111285221525208868e+02
4.663889531250000005e+02,-1.090985315437328751e+02
4.663892460937499891e+02,-1.038492193447722087e+02
4.663895390625000346e+02,-1.078838630684710154e+02
4.663898320312500232e+02,-1.004985174070552603e+02
4.663901250000000118e+02,-1.024480140367548273e+02
4.663904179687500005e+02,-1.022216278052987235e+02
4.663907109374999891e+02,-1.162732888553489659e+02
4.663910039062500346e+02,-1.018948760122085844e+02
4.663912968750000232e+02,-9.834713663334456157e+01
4.663915898437500118e+02,-9.916233661560745816e+01
4.663918828125000005e+02,-1.002476243712386861e+02
4.663921757812499891e+02,-1.035306992542796678e+02
4.663924687500000346e+02,-1.069004677503622531e+02
4.663927617187500232e+02,-9.971541223775622598e+01
4.663930546875000118e+02,-9.541946245545747729e+01
4.663933476562500005e+02,-9.661465183887861485e+01
4.663936406249999891e+02,-1.029422586742766157e+02
4.663939335937500346e+02,-9.766830431931546741e+01
4.663942265625000232e+02,-1.001167027012937183e+02
4.663945195312500118e+02,-9.471308147078268291e+01
4.663948125000000005e+02,-9.993651069523976105e+01
4.663951054687499891e+02,-1.076615978648636229e+02
4.663953984375000346e+02,-1.161524336505612496e+02
4.663956914062500232e+02,-9.897971115715962753e+01
4.663959843750000118e+02,-9.678384694835554569e+01
4.663962773437500005e+02,-9.732284918491922099e+01
4.663965703124999891e+02,-9.641391449301467276e+01
4.663968632812500346e+02,-1.022701601179743989e+02
4.663971562500000232e+02,-9.998019187098334726e+01
4.663974492187500118e+02,-1.016256366245051481e+02
4.663977421875000005e+02,-9.998326201087846243e+01
4.663980351562499891e+02,-9.703391453056006810e+01
4.663983281250000346e+02,-9.472447545011796421e+01
4.663986210937500232e+02,-9.906841713768821478e+01
4.663989140625000118e+02,-1.066836715498136243e+02
4.663992070312500005e+02,-9.837537028121195704e+01
4.663994999999999891e+02,-1.081727245286901677e+02
4.663997929687500346e+02,-9.921168935939255107e+01
4.664000859375000232e+02,-1.012290395340014584e+02
4.664003789062500118e+02,-9.816870586477186578e+01
4.664006718750000005e+02,-1.099435036975319520e+02
4.664009648437499891e+02,-1.222580030981741572e+02
4.664012578125000346e+02,-9.769996528462654339e+01
4.664015507812500232e+02,-9.822662286809844545e+01
4.664018437500000118e+02,-1.038699386321964653e+02
4.664021367187500005e+02,-1.025380864717883753e+02
4.664024296874999891e+02,-1.146483664821126780e+02
4.664027226562500346e+02,-9.899484352778033269e+01
4.664030156250000232e+02,-1.006402464969432629e+02
4.664033085937500118e+02,-1.003523686966034489e+02
4.664036015625000005e+02,-1.035964701263022789e+02
4.664038945312499891e+02,-1.020533216675572277e+02
