Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-9.843968243307895705e+01
4.663622929687500118e+02,-9.377003755210536440e+01
4.663625859375000005e+02,-9.887145030845843507e+01
4.663628789062499891e+02,-1.019465488515194522e+02
4.663631718750000346e+02,-1.023181784793330706e+02
4.663634648437500232e+02,-9.200286614188271983e+01
4.663637578125000118e+02,-9.858447532338514918e+01
4.663640507812500005e+02,-9.138992828584802908e+01
4.663643437499999891e+02,-9.100358683483869982e+01
4.663646367187500346e+02,-9.232366701044188062e+01
4.663649296875000232e+02,-9.223049909976977290e+01
4.663652226562500118e+02,-1.023663281577510134e+02
4.663655156250000005e+02,-9.462563061651377438e+01
4.663658085937499891e+02,-1.021375156456130924e+02
4.663661015625000346e+02,-9.325084574520320757e+01
4.663663945312500232e+02,-1.099158347888273113e+02
4.663666875000000118e+02,-8.983149483409100355e+01
4.663669804687500005e+02,-9.011225757027433758e+01
4.663672734374999891e+02,-9.551326511728676394e+01
4.663675664062500346e+02,-9.561568722484233263e+01
4.663678593750000232e+02,-1.037086179549058897e+02
4.663681523437500118e+02,-9.145063811649430363e+01
4.663684453125000005e+02,-9.745797431040342929e+01
4.663687382812499891e+02,-9.162878132426492073e+01
4.663690312500000346e+02,-1.037983670858049834e+02
4.663693242187500232e+02,-9.150366333386418205e+01
4.663696171875000118e+02,-9.276469491295011949e+01
4.663699101562500005e+02,-1.024178185869859448e+02
4.663702031249999891e+02,-9.681713459688565138e+01
4.663704960937500346e+02,-9.445142507355093642e+01
4.663707890625000232e+02,-9.342268256400551252e+01
4.663710820312500118e+02,-9.508864960918019449e+01
4.663713750000000005e+02,-9.504130843620509950e+01
4.663716679687499891e+02,-1.052285187263418322e+02
4.663719609375000346e+02,-9.473386142504706697e+01
4.663722539062500232e+02,-9.606030842183909613e+01
4.663725468750000118e+02,-9.597251261705791592e+01
4.663728398437500005e+02,-9.556020130388341727e+01
4.663731328124999891e+02,-9.601437996907139905e+01
4.663734257812500346e+02,-1.138156168416566345e+02
4.663737187500000232e+02,-9.764680486040346352e+01
4.663740117187500118e+02,-1.143754795600134599e+02
4.663743046875000005e+02,-1.005628486988282475e+02
4.663745976562499891e+02,-1.013663304860235996e+02
4.663748906250000346e+02,-9.443748553297466231e+01
4.663751835937500232e+02,-1.035191464821341611e+02
4.663754765625000118e+02,-9.219518591393591578e+01
4.663757695312500005e+02,-9.527165465284845425e+01
4.663760624999999891e+02,-1.021607252300392901e+02
4.663763554687500346e+02,-1.110101945011593330e+02
4.663766484375000232e+02,-9.585019160427745533e+01
4.663769414062500118e+02,-1.002019273358000646e+02
4.663772343750000005e+02,-1.044484567143003773e+02
4.663775273437499891e+02,-9.774523956715518125e+01
4.663778203125000346e+02,-1.025118618990220654e+02
4.663781132812500232e+02,-9.142842806481333184e+01
4.663784062500000118e+02,-9.233969039478358809e+01
4.663786992187500005e+02,-1.007553472885010137e+02
4.663789921874999891e+02,-9.651002571478811376e+01
4.663792851562500346e+02,-9.346194631179442069e+01
4.663795781250000232e+02,-9.686139103760324076e+01
4.663798710937500118e+02,-9.765126482904959460e+01
4.663801640625000005e+02,-1.040282186200749948e+02
4.663804570312499891e+02,-1.018181082476064319e+02
4.663807500000000346e+02,-9.144099851787407829e+01
4.663810429687500232e+02,-9.403035260496487524e+01
4.663813359375000118e+02,-9.346413161800674629e+01
4.663816289062500005e+02,-9.399428185422829074e+01
4.663819218749999891e+02,-9.229542668069106526e+01
4.663822148437500346e+02,-9.332913598579467873e+01
4.663825078125000232e+02,-1.036743570651966024e+02
4.663828007812500118e+02,-9.991305857181725969e+01
4.663830937500000005e+02,-9.592405617271894869e+01
4.663833867187499891e+02,-9.631767427444768259e+01
4.663836796875000346e+02,-9.668242860717808185e+01
4.663839726562500232e+02,-9.487378745636894450e+01
4.663842656250000118e+02,-9.779444151060330626e+01
4.663845585937500005e+02,-9.324614163739133232e+01
4.663848515624999891e+02,-9.233889842043265617e+01
4.663851445312500346e+02,-1.051697886520019551e+02
4.663854375000000232e+02,-1.011966070366514145e+02
4.663857304687500118e+02,-9.928846738767525437e+01
4.663860234375000005e+02,-9.635259771942872931e+01
4.663863164062499891e+02,-8.860163146720066152e+01
4.663866093750000346e+02,-9.163127731116765062e+01
4.663869023437500232e+02,-1.008509482176187930e+02
4.663871953125000118e+02,-9.432492391617418548e+01
4.663874882812500005e+02,-9.279850889788455959e+01
4.663877812499999891e+02,-9.764120320446521362e+01
4.663880742187500346e+02,-1.033467540300348020e+02
4.663883671875000232e+02,-1.072617292491518981e+02
4.663886601562500118e+02,-8.955967986509017464e+01
4.663889531250000005e+02,-8.840689957244538277e+01
4.663892460937499891e+02,-9.951717542106634085e+01
4.663895390625000346e+02,-1.081596682288080302e+02
4.663898320312500232e+02,-9.660866296315980151e+01
4.663901250000000118e+02,-9.157268558161706551e+01
4.663904179687500005e+02,-9.086148446225143971e+01
4.663907109374999891e+02,-1.001368816011739966e+02
4.663910039062500346e+02,-1.007344720839573711e+02
4.663912968750000232e+02,-8.991871109338586621e+01
4.663915898437500118e+02,-9.358988787404823029e+01
4.663918828125000005e+02,-1.116160603502143260e+02
4.663921757812499891e+02,-1.016824521875460476e+02
4.663924687500000346e+02,-9.512591582931803202e+01
4.663927617187500232e+02,-8.943316236417157938e+01
4.663930546875000118e+02,-8.850011328989211279e+01
4.663933476562500005e+02,-9.727886242047796372e+01
4.663936406249999891e+02,-1.114319535890885362e+02
4.663939335937500346e+02,-1.049675576841909788e+02
4.663942265625000232e+02,-1.165104922806922048e+02
4.663945195312500118e+02,-1.164391166800801045e+02
4.663948125000000005e+02,-1.061272697278774331e+02
4.663951054687499891e+02,-9.486912171559156093e+01
4.663953984375000346e+02,-8.834936141657449582e+01
4.663956914062500232e+02,-8.865844121314847825e+01
4.663959843750000118e+02,-9.823450804334996178e+01
4.663962773437500005e+02,-1.035154635914693557e+02
4.663965703124999891e+02,-1.032104033424180187e+02
4.663968632812500346e+02,-1.076675523334493789e+02
4.663971562500000232e+02,-9.957042661563789920e+01
4.663974492187500118e+02,-9.595061080342922821e+01
4.663977421875000005e+02,-9.387911487256054954e+01
4.663980351562499891e+02,-9.218344794318318236e+01
4.663983281250000346e+02,-9.472300935706437031e+01
4.663986210937500232e+02,-1.111710370897328914e+02
4.663989140625000118e+02,-9.890051389553923400e+01
4.663992070312500005e+02,-9.679215775359266161e+01
4.663994999999999891e+02,-1.085975656850691138e+02
4.663997929687500346e+02,-9.712149483453708854e+01
4.664000859375000232e+02,-9.458132789239260774e+01
4.664003789062500118e+02,-9.806256781354949226e+01
4.664006718750000005e+02,-1.179471319761357364e+02
4.664009648437499891e+02,-1.189742207276857755e+02
4.664012578125000346e+02,-9.918755073232273389e+01
4.664015507812500232e+02,-9.465487943598157017e+01
4.664018437500000118e+02,-9.513857655141792691e+01
4.664021367187500005e+02,-1.021076762987325992e+02
4.664024296874999891e+02,-9.822612402056023484e+01
4.664027226562500346e+02,-9.754383708735545611e+01
4.664030156250000232e+02,-1.045087725660433478e+02
4.664033085937500118e+02,-1.013584762711147960e+02
4.664036015625000005e+02,-1.004188173439342222e+02
4.664038945312499891e+02,-9.899111597234966098e+01
4.664041875000000346e+02,-9.614218568002769416e+01
4.664044804687500232e+02,-9.531353321417475399e+01
4.664047734375000118e+02,-9.644789853131393897e+01
4.664050664062500005e+02,-1.042871153893218832e+02
4.664053593749999891e+02,-1.013012504374106015e+02
4.664056523437500346e+02,-9.738712662857226121e+01
4.664059453125000232e+02,-9.857471449366009608e+01
4.664062382812500118e+02,-1.013796773722944806e+02
4.664065312500000005e+02,-9.554308663280875180e+01
4.664068242187499891e+02,-9.776763235720899559e+01
4.664071171875000346e+02,-9.276297136757148110e+01
4.664074101562500232e+02,-9.917889229569391318e+01
4.664077031250000118e+02,-9.720011536635723814e+01
4.664079960937500005e+02,-9.752677478504024577e+01
4.664082890624999891e+02,-9.491735911089493527e+01
4.664085820312500346e+02,-9.986879933536413034e+01
4.664088750000000232e+02,-9.433229767538263388e+01
4.664091679687500118e+02,-9.017722342152526949e+01
4.664094609375000005e+02,-9.136072407284017061e+01
4.664097539062499891e+02,-9.020419830508473069e+01
4.664100468750000346e+02,-9.769161115261667305e+01
4.664103398437500232e+02,-9.358162661379687108e+01
4.664106328125000118e+02,-9.199418518447173199e+01
4.664109257812500005e+02,-9.716699629892217160e+01
4.664112187499999891e+02,-9.642527698508872902e+01
4.664115117187500346e+02,-9.048988817122292971e+01
4.664118046875000232e+02,-9.691039623553004390e+01
4.664120976562500118e+02,-9.118756550745663958e+01
4.664123906250000005e+02,-9.445523532074713557e+01
4.664126835937499891e+02,-9.638612092171369738e+01
4.664129765625000346e+02,-9.132047307633277455e+01
4.664132695312500232e+02,-9.123159656934831219e+01
4.664135625000000118e+02,-9.432972148755271746e+01
4.664138554687500005e+02,-9.135914294678158853e+01
4.664141484374999891e+02,-9.284439056889874564e+01
4.664144414062500346e+02,-9.915273260817733103e+01
4.664147343750000232e+02,-8.959701325273287864e+01
4.664150273437500118e+02,-9.546505893114655805e+01
4.664153203125000005e+02,-9.902906803619734433e+01
4.664156132812499891e+02,-9.541059395662350084e+01
4.664159062500000346e+02,-9.881651919123004291e+01
4.664161992187500232e+02,-9.649766017958489783e+01
4.664164921875000118e+02,-9.205795083533931233e+01
4.664167851562500005e+02,-9.731273792279785084e+01
4.664170781249999891e+02,-9.262622016015201609e+01
4.664173710937500346e+02,-9.723945654597321209e+01
4.664176640625000232e+02,-1.074513140722345952e+02
4.664179570312500118e+02,-9.630515349136501868e+01
4.664182500000000005e+02,-9.873588482997119797e+01
4.664185429687499891e+02,-9.682155719662569027e+01
4.664188359375000346e+02,-9.183717611311726614e+01
4.664191289062500232e+02,-9.427873403061525437e+01
4.664194218750000118e+02,-9.475116240755244235e+01
4.664197148437500005e+02,-9.606016403082415422e+01
4.664200078124999891e+02,-1.116730195774804884e+02
4.664203007812500346e+02,-1.076731459993040687e+02
4.664205937500000232e+02,-9.828010707953266945e+01
4.664208867187500118e+02,-1.140472119332294483e+02
4.664211796875000005e+02,-9.731193655832058198e+01
4.664214726562499891e+02,-9.307603289497865262e+01
4.664217656250000346e+02,-1.051569365973833357e+02
4.664220585937500232e+02,-9.923099480049143040e+01
4.664223515625000118e+02,-1.042112483436747539e+02
4.664226445312500005e+02,-9.729103397644335871e+01
4.664229374999999891e+02,-9.825757050526759429e+01
4.664232304687500346e+02,-9.626280302214158269e+01
4.664235234375000232e+02,-1.201790168413216406e+02
4.664238164062500118e+02,-9.798443593414566521e+01
4.664241093750000005e+02,-1.003252574768461614e+02
4.664244023437499891e+02,-1.034396187957344893e+02
4.664246953125000346e+02,-9.927618373772175175e+01
4.664249882812500232e+02,-9.525720991524607939e+01
4.664252812500000118e+02,-9.447796371240650615e+01
4.664255742187500005e+02,-9.432857110353612029e+01
4.664258671874999891e+02,-9.428029622832789869e+01
4.664261601562500346e+02,-9.841061729225815213e+01
4.664264531250000232e+02,-1.031456568415992763e+02
4.664267460937500118e+02,-9.512421271832657510e+01
4.664270390625000005e+02,-9.047772097980012518e+01
4.664273320312499891e+02,-9.154465448502010361e+01
4.664276250000000346e+02,-9.135372342071670460e+01
4.664279179687500232e+02,-9.305717765104643036e+01
4.664282109375000118e+02,-9.467070607354617096e+01
4.664285039062500005e+02,-9.988345451419989729e+01
