Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-1.146084930207994290e+02
4.663622929687500118e+02,-1.136158213477846743e+02
4.663625859375000005e+02,-1.120776175028582884e+02
4.663628789062499891e+02,-1.077807140573484759e+02
4.663631718750000346e+02,-1.110928302854146210e+02
4.663634648437500232e+02,-1.146403177337481480e+02
4.663637578125000118e+02,-1.047884781599048836e+02
4.663640507812500005e+02,-1.059656212875292454e+02
4.663643437499999891e+02,-1.095788272131675853e+02
4.663646367187500346e+02,-1.142834054582691010e+02
4.663649296875000232e+02,-1.087596361962533962e+02
4.663652226562500118e+02,-1.089964314603231088e+02
4.663655156250000005e+02,-1.255915338401775330e+02
4.663658085937499891e+02,-1.087108227212679168e+02
4.663661015625000346e+02,-1.147032800148425338e+02
4.663663945312500232e+02,-1.290113284314094244e+02
4.663666875000000118e+02,-1.306971031289351686e+02
4.663669804687500005e+02,-1.039403657365809863e+02
4.663672734374999891e+02,-1.032440285258839481e+02
4.663675664062500346e+02,-1.062492114013983127e+02
4.663678593750000232e+02,-1.206544499573922877e+02
4.663681523437500118e+02,-1.084439740244966544e+02
4.663684453125000005e+02,-1.062388240591316162e+02
4.663687382812499891e+02,-1.134715024562501640e+02
4.663690312500000346e+02,-1.178267591161120151e+02
4.663693242187500232e+02,-1.173211954948947664e+02
4.663696171875000118e+02,-1.177192939694552649e+02
4.663699101562500005e+02,-1.084695073029340193e+02
4.663702031249999891e+02,-1.130757796867780627e+02
4.663704960937500346e+02,-1.074760849590599605e+02
4.663707890625000232e+02,-1.135021686730571275e+02
4.663710820312500118e+02,-1.118563328863714332e+02
4.663713750000000005e+02,-1.103274639685953531e+02
4.663716679687499891e+02,-1.092535500330303933e+02
4.663719609375000346e+02,-1.032946626858958723e+02
4.663722539062500232e+02,-1.063701970527497451e+02
4.663725468750000118e+02,-1.120601337499934544e+02
4.663728398437500005e+02,-1.112872322985470532e+02
4.663731328124999891e+02,-1.190266816726658163e+02
4.663734257812500346e+02,-1.269119499805449891e+02
4.663737187500000232e+02,-1.091417650637883696e+02
4.663740117187500118e+02,-1.077614480344753645e+02
4.663743046875000005e+02,-1.019870637489813419e+02
4.663745976562499891e+02,-1.223986578239533998e+02
4.663748906250000346e+02,-1.075488554114282920e+02
4.663751835937500232e+02,-1.111247823390795588e+02
4.663754765625000118e+02,-1.149015644533593843e+02
4.663757695312500005e+02,-1.226451914275388191e+02
4.663760624999999891e+02,-1.102817993646111461e+02
4.663763554687500346e+02,-1.061526783206784188e+02
4.663766484375000232e+02,-1.083735528534882064e+02
4.663769414062500118e+02,-1.037870898015417254e+02
4.663772343750000005e+02,-1.039484351086607035e+02
4.663775273437499891e+02,-9.878337301381881730e+01
4.663778203125000346e+02,-9.757927526998327039e+01
4.663781132812500232e+02,-1.014362384959509313e+02
4.663784062500000118e+02,-1.280917741358778699e+02
4.663786992187500005e+02,-1.167754723401004924e+02
4.663789921874999891e+02,-1.195135052314022204e+02
4.663792851562500346e+02,-1.245140667946141519e+02
4.663795781250000232e+02,-1.137012154210326855e+02
4.663798710937500118e+02,-1.160640200370150552e+02
4.663801640625000005e+02,-1.092161927415169487e+02
4.663804570312499891e+02,-1.038068267472129662e+02
