Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-9.263834367370756695e+01
4.663622929687500118e+02,-9.583753464994542526e+01
4.663625859375000005e+02,-1.055202885490590035e+02
4.663628789062499891e+02,-1.012441321472135201e+02
4.663631718750000346e+02,-9.362545992142442230e+01
4.663634648437500232e+02,-9.624910855587327774e+01
4.663637578125000118e+02,-9.466975360106761173e+01
4.663640507812500005e+02,-1.017477260722758956e+02
4.663643437499999891e+02,-1.014238184687859246e+02
4.663646367187500346e+02,-9.606248065766598643e+01
4.663649296875000232e+02,-9.556788921432128348e+01
4.663652226562500118e+02,-1.021305024501220089e+02
4.663655156250000005e+02,-1.000118320368154912e+02
4.663658085937499891e+02,-9.449051073409626156e+01
4.663661015625000346e+02,-9.808255653167103105e+01
4.663663945312500232e+02,-9.866120349584731741e+01
4.663666875000000118e+02,-9.792928917565619429e+01
4.663669804687500005e+02,-9.771517217735457450e+01
4.663672734374999891e+02,-1.112398643804569218e+02
4.663675664062500346e+02,-9.570675694386150667e+01
4.663678593750000232e+02,-1.023593099119933925e+02
4.663681523437500118e+02,-9.687428284010201196e+01
4.663684453125000005e+02,-9.338846003260458417e+01
4.663687382812499891e+02,-9.410132815332605105e+01
4.663690312500000346e+02,-9.760189060541637218e+01
4.663693242187500232e+02,-9.393457232640200516e+01
4.663696171875000118e+02,-9.946196312588618582e+01
4.663699101562500005e+02,-1.014692911337766503e+02
4.663702031249999891e+02,-9.666291823060858235e+01
4.663704960937500346e+02,-1.084469124764399197e+02
4.663707890625000232e+02,-9.633033002169581493e+01
4.663710820312500118e+02,-1.047943559200978569e+02
4.663713750000000005e+02,-9.608363388047055764e+01
4.663716679687499891e+02,-9.298795516747239276e+01
4.663719609375000346e+02,-9.182935441695198620e+01
4.663722539062500232e+02,-9.730208086232718756e+01
4.663725468750000118e+02,-9.813269409465979720e+01
4.663728398437500005e+02,-1.039235141750551605e+02
4.663731328124999891e+02,-1.006139731743332106e+02
4.663734257812500346e+02,-9.643046858108917263e+01
4.663737187500000232e+02,-9.795587359307523911e+01
4.663740117187500118e+02,-9.559824877494421003e+01
4.663743046875000005e+02,-9.528652386978473032e+01
4.663745976562499891e+02,-9.806473113036135203e+01
4.663748906250000346e+02,-9.716563307248968329e+01
4.663751835937500232e+02,-9.396122478344412343e+01
4.663754765625000118e+02,-9.582595517005545105e+01
4.663757695312500005e+02,-1.007362735944656009e+02
4.663760624999999891e+02,-1.097640763643600081e+02
4.663763554687500346e+02,-9.545274518038029044e+01
4.663766484375000232e+02,-9.309105798934251652e+01
4.663769414062500118e+02,-9.907962425099283621e+01
4.663772343750000005e+02,-1.048673398598516542e+02
4.663775273437499891e+02,-1.190087233188236553e+02
4.663778203125000346e+02,-9.497831756127239089e+01
4.663781132812500232e+02,-9.538752682492170720e+01
4.663784062500000118e+02,-1.006410386595655524e+02
4.663786992187500005e+02,-9.716074260960029108e+01
4.663789921874999891e+02,-9.690143187295676341e+01
4.663792851562500346e+02,-1.004797761913447403e+02
4.663795781250000232e+02,-9.831444752620581085e+01
4.663798710937500118e+02,-9.523219844474056117e+01
4.663801640625000005e+02,-9.877986357655012739e+01
4.663804570312499891e+02,-9.211653815721368233e+01
4.663807500000000346e+02,-9.707342902010680064e+01
4.663810429687500232e+02,-1.000190410296649048e+02
4.663813359375000118e+02,-9.411321251772028518e+01
4.663816289062500005e+02,-9.901987203599563259e+01
4.663819218749999891e+02,-1.033606236557938161e+02
4.663822148437500346e+02,-9.175051333572093881e+01
4.663825078125000232e+02,-9.022862758763947966e+01
4.663828007812500118e+02,-9.393538956681666718e+01
4.663830937500000005e+02,-9.995704382000467092e+01
4.663833867187499891e+02,-1.038852381217892287e+02
4.663836796875000346e+02,-9.138502212055023222e+01
4.663839726562500232e+02,-9.531188526087512969e+01
4.663842656250000118e+02,-1.149304773541187643e+02
4.663845585937500005e+02,-1.078592753100831203e+02
4.663848515624999891e+02,-9.642181079225865403e+01
4.663851445312500346e+02,-9.338826005656471807e+01
4.663854375000000232e+02,-9.337112398919859402e+01
4.663857304687500118e+02,-9.632488564790014607e+01
4.663860234375000005e+02,-9.568295414597351112e+01
4.663863164062499891e+02,-9.250644813615846829e+01
4.663866093750000346e+02,-1.010510176281137262e+02
4.663869023437500232e+02,-1.103808726618700291e+02
