Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-8.208244130212210621e+01
4.663622929687500118e+02,-8.876254716389783539e+01
4.663625859375000005e+02,-8.291116836155865144e+01
4.663628789062499891e+02,-8.786030559407230101e+01
4.663631718750000346e+02,-9.154350942418020054e+01
4.663634648437500232e+02,-8.704438809190952497e+01
4.663637578125000118e+02,-8.380227451406003070e+01
4.663640507812500005e+02,-7.988183187223485504e+01
4.663643437499999891e+02,-8.127374157188589265e+01
4.663646367187500346e+02,-8.940662251544297590e+01
4.663649296875000232e+02,-8.583264413886409727e+01
4.663652226562500118e+02,-9.140221005975888602e+01
4.663655156250000005e+02,-9.605291492490349015e+01
4.663658085937499891e+02,-8.903823065425220307e+01
4.663661015625000346e+02,-8.532075107791521873e+01
4.663663945312500232e+02,-8.026832228071847908e+01
4.663666875000000118e+02,-8.216472604488478737e+01
4.663669804687500005e+02,-8.928753118584550919e+01
4.663672734374999891e+02,-9.134191443376799668e+01
4.663675664062500346e+02,-1.172378837749541560e+02
4.663678593750000232e+02,-8.773459581663600204e+01
4.663681523437500118e+02,-1.046668865716229107e+02
4.663684453125000005e+02,-8.880643983722316648e+01
4.663687382812499891e+02,-8.360183475322034496e+01
4.663690312500000346e+02,-8.432312342882438827e+01
4.663693242187500232e+02,-9.089307998031623015e+01
4.663696171875000118e+02,-9.826849484128247525e+01
4.663699101562500005e+02,-9.188426303556013863e+01
4.663702031249999891e+02,-8.317092200846767014e+01
4.663704960937500346e+02,-8.922145306517514030e+01
4.663707890625000232e+02,-9.526637407581756634e+01
4.663710820312500118e+02,-8.919285592903391091e+01
4.663713750000000005e+02,-8.691275939432787823e+01
4.663716679687499891e+02,-1.025415627388192377e+02
4.663719609375000346e+02,-9.093436334597656412e+01
4.663722539062500232e+02,-8.728170172602878552e+01
4.663725468750000118e+02,-8.336632729826712307e+01
4.663728398437500005e+02,-8.509462063976715740e+01
4.663731328124999891e+02,-8.843931922664654621e+01
4.663734257812500346e+02,-9.440737573812904770e+01
4.663737187500000232e+02,-9.092835891529860248e+01
4.663740117187500118e+02,-9.620756768675107651e+01
4.663743046875000005e+02,-9.273646364963532562e+01
4.663745976562499891e+02,-8.807986308557499910e+01
4.663748906250000346e+02,-8.672304740382020327e+01
4.663751835937500232e+02,-8.699501669895107625e+01
4.663754765625000118e+02,-8.723369723194315384e+01
4.663757695312500005e+02,-8.931057565256791975e+01
4.663760624999999891e+02,-9.208331171172146412e+01
4.663763554687500346e+02,-9.552278452376430096e+01
4.663766484375000232e+02,-1.048604851062310104e+02
4.663769414062500118e+02,-9.689715475229228048e+01
4.663772343750000005e+02,-9.426997098006025055e+01
4.663775273437499891e+02,-1.012266672046849436e+02
