Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-9.508980196329260082e+01
4.663622929687500118e+02,-9.392455904853883908e+01
4.663625859375000005e+02,-9.225794409472230484e+01
4.663628789062499891e+02,-1.015885448422322526e+02
4.663631718750000346e+02,-9.356082279355527476e+01
4.663634648437500232e+02,-8.991214193422530343e+01
4.663637578125000118e+02,-1.014699946146420331e+02
4.663640507812500005e+02,-9.611495096529966986e+01
4.663643437499999891e+02,-9.570393573405986842e+01
4.663646367187500346e+02,-8.872566568615688709e+01
4.663649296875000232e+02,-8.701844554174491009e+01
4.663652226562500118e+02,-8.988660630166182841e+01
4.663655156250000005e+02,-9.139259468694754673e+01
4.663658085937499891e+02,-8.930162251914907756e+01
4.663661015625000346e+02,-8.682318793745004371e+01
4.663663945312500232e+02,-8.912474503751465704e+01
4.663666875000000118e+02,-9.286633645111800206e+01
4.663669804687500005e+02,-9.224445169978204717e+01
4.663672734374999891e+02,-8.783340769095295286e+01
4.663675664062500346e+02,-1.013868819545829183e+02
4.663678593750000232e+02,-1.093182736449533934e+02
4.663681523437500118e+02,-1.016704426240492154e+02
4.663684453125000005e+02,-9.856125938041999746e+01
4.663687382812499891e+02,-9.505282297682560966e+01
4.663690312500000346e+02,-9.912435994307850251e+01
4.663693242187500232e+02,-9.423736535918126833e+01
4.663696171875000118e+02,-9.366614367299752075e+01
4.663699101562500005e+02,-9.474954169686718330e+01
4.663702031249999891e+02,-1.019233414737645376e+02
4.663704960937500346e+02,-1.059390055061716964e+02
4.663707890625000232e+02,-8.995737575107608563e+01
4.663710820312500118e+02,-8.475968657629931613e+01
4.663713750000000005e+02,-9.101099146510762239e+01
4.663716679687499891e+02,-9.149402974959173207e+01
4.663719609375000346e+02,-8.630531313798670112e+01
4.663722539062500232e+02,-8.391461873442223407e+01
4.663725468750000118e+02,-8.324042500803597022e+01
4.663728398437500005e+02,-8.750307478506969971e+01
4.663731328124999891e+02,-9.511468237239157020e+01
4.663734257812500346e+02,-8.830071649627895169e+01
4.663737187500000232e+02,-9.113881898901082934e+01
4.663740117187500118e+02,-9.224905909978849650e+01
4.663743046875000005e+02,-9.842707349038882114e+01
4.663745976562499891e+02,-9.039307254286083548e+01
4.663748906250000346e+02,-9.004175084455162903e+01
4.663751835937500232e+02,-9.377663713281499724e+01
4.663754765625000118e+02,-9.564223900188318339e+01
4.663757695312500005e+02,-9.731606909876717282e+01
4.663760624999999891e+02,-9.250428817669332204e+01
4.663763554687500346e+02,-9.157073192835284203e+01
4.663766484375000232e+02,-9.006764536506784680e+01
4.663769414062500118e+02,-9.448392031309535355e+01
4.663772343750000005e+02,-8.596460728105797955e+01
4.663775273437499891e+02,-8.976426068734355113e+01
4.663778203125000346e+02,-8.941097127857716487e+01
4.663781132812500232e+02,-8.753954438135453131e+01
4.663784062500000118e+02,-8.905445497664216248e+01
4.663786992187500005e+02,-8.830079376477891628e+01
4.663789921874999891e+02,-9.077013161268538965e+01
4.663792851562500346e+02,-1.058001661388021120e+02
4.663795781250000232e+02,-9.779564489712092268e+01
4.663798710937500118e+02,-8.921185106305779300e+01
4.663801640625000005e+02,-8.850761766899432814e+01
4.663804570312499891e+02,-8.661341832760840020e+01
4.663807500000000346e+02,-8.886780742026361679e+01
4.663810429687500232e+02,-9.205873254557467078e+01
4.663813359375000118e+02,-9.074303515261118491e+01
4.663816289062500005e+02,-8.789910259674385884e+01
4.663819218749999891e+02,-8.713777763489945016e+01
4.663822148437500346e+02,-8.811070499440057802e+01
4.663825078125000232e+02,-9.286854366046961218e+01
4.663828007812500118e+02,-9.067667565418611275e+01
4.663830937500000005e+02,-9.465369509849938368e+01
4.663833867187499891e+02,-9.416612264600306048e+01
4.663836796875000346e+02,-1.009232360204776739e+02
4.663839726562500232e+02,-8.853760439751619060e+01
4.663842656250000118e+02,-8.863607383768213310e+01
4.663845585937500005e+02,-8.848804538142775300e+01
4.663848515624999891e+02,-8.713944416383681357e+01
4.663851445312500346e+02,-8.759015319082396900e+01
4.663854375000000232e+02,-9.574682760036120044e+01
4.663857304687500118e+02,-9.570150881637518125e+01
4.663860234375000005e+02,-8.913265583764056998e+01
4.663863164062499891e+02,-1.016461153903588865e+02
4.663866093750000346e+02,-9.207059383846159051e+01
4.663869023437500232e+02,-8.709719198079298508e+01
4.663871953125000118e+02,-8.598558786371376073e+01
4.663874882812500005e+02,-9.363466126036965420e+01
4.663877812499999891e+02,-9.318633835095519657e+01
4.663880742187500346e+02,-9.218727730814613608e+01
4.663883671875000232e+02,-9.195431131876992481e+01
4.663886601562500118e+02,-9.157099096098752966e+01
4.663889531250000005e+02,-8.803729329658553127e+01
4.663892460937499891e+02,-8.955138806456889711e+01
4.663895390625000346e+02,-9.998215634197664770e+01
4.663898320312500232e+02,-9.291953444354653868e+01
4.663901250000000118e+02,-8.841943314996436243e+01
4.663904179687500005e+02,-8.384387301079868848e+01
4.663907109374999891e+02,-8.567496629252089235e+01
4.663910039062500346e+02,-9.383022192431339192e+01
4.663912968750000232e+02,-9.057579581688464998e+01
4.663915898437500118e+02,-8.586609726805360765e+01
4.663918828125000005e+02,-8.534347623821334139e+01
4.663921757812499891e+02,-9.306377050956282915e+01
4.663924687500000346e+02,-8.853991857359163475e+01
4.663927617187500232e+02,-8.635976156136740656e+01
4.663930546875000118e+02,-8.774193266035517524e+01
4.663933476562500005e+02,-9.844607504627265371e+01
4.663936406249999891e+02,-1.084842302740136404e+02
4.663939335937500346e+02,-9.437954219321827054e+01
4.663942265625000232e+02,-8.751259519419531330e+01
4.663945195312500118e+02,-9.310492385995189579e+01
4.663948125000000005e+02,-9.496000263440116385e+01
4.663951054687499891e+02,-9.289299775493327616e+01
4.663953984375000346e+02,-8.841275548903101367e+01
4.663956914062500232e+02,-8.424201277813267552e+01
4.663959843750000118e+02,-8.625515395306459254e+01
4.663962773437500005e+02,-9.997310367480761784e+01
4.663965703124999891e+02,-9.100582392075651228e+01
4.663968632812500346e+02,-9.336312270396203417e+01
4.663971562500000232e+02,-9.549424013290190771e+01
4.663974492187500118e+02,-9.412153972384318479e+01
4.663977421875000005e+02,-8.636531501747697348e+01
4.663980351562499891e+02,-8.508663604900388577e+01
4.663983281250000346e+02,-9.165068413699728467e+01
4.663986210937500232e+02,-1.008263015030228189e+02
4.663989140625000118e+02,-8.924716937245631243e+01
4.663992070312500005e+02,-8.634034647230811288e+01
4.663994999999999891e+02,-8.965768438311754096e+01
4.663997929687500346e+02,-8.831293121419328429e+01
4.664000859375000232e+02,-9.377170160195525739e+01
4.664003789062500118e+02,-8.957006566079400045e+01
4.664006718750000005e+02,-9.402038906044697342e+01
4.664009648437499891e+02,-8.685333425996901724e+01
4.664012578125000346e+02,-8.520379485045171464e+01
4.664015507812500232e+02,-9.188518170384705286e+01
4.664018437500000118e+02,-8.885243516966562538e+01
4.664021367187500005e+02,-8.783570287925499542e+01
4.664024296874999891e+02,-9.426871915580363748e+01
4.664027226562500346e+02,-9.729629297887784389e+01
4.664030156250000232e+02,-9.343744614090324774e+01
4.664033085937500118e+02,-8.523413372484698414e+01
4.664036015625000005e+02,-9.621172069479953848e+01
4.664038945312499891e+02,-8.835438457323706984e+01
4.664041875000000346e+02,-8.966241731816157312e+01
