Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-1.109049237267631725e+02
4.663622929687500118e+02,-9.676603075215686545e+01
4.663625859375000005e+02,-9.759938494957484068e+01
4.663628789062499891e+02,-9.350854093514377041e+01
4.663631718750000346e+02,-9.000745997002169929e+01
4.663634648437500232e+02,-8.536794419095392072e+01
4.663637578125000118e+02,-9.078741645337825616e+01
4.663640507812500005e+02,-9.768012535954929376e+01
4.663643437499999891e+02,-1.025256246728064156e+02
4.663646367187500346e+02,-9.007751361255451172e+01
4.663649296875000232e+02,-9.309633511106707715e+01
4.663652226562500118e+02,-8.391547724310723311e+01
4.663655156250000005e+02,-8.436221053387741620e+01
4.663658085937499891e+02,-9.112700840995449880e+01
4.663661015625000346e+02,-9.147794366705797131e+01
4.663663945312500232e+02,-8.995567132941150135e+01
4.663666875000000118e+02,-9.823885803368661129e+01
4.663669804687500005e+02,-9.341243921878864853e+01
4.663672734374999891e+02,-9.562178486515421127e+01
4.663675664062500346e+02,-9.232967680921214537e+01
4.663678593750000232e+02,-9.126731750430947443e+01
4.663681523437500118e+02,-1.130743659442355522e+02
4.663684453125000005e+02,-8.675751459404247612e+01
4.663687382812499891e+02,-9.053362095399187126e+01
4.663690312500000346e+02,-9.140573405980789801e+01
4.663693242187500232e+02,-9.577902751865833864e+01
4.663696171875000118e+02,-8.878865722148950113e+01
4.663699101562500005e+02,-8.863631480649627292e+01
4.663702031249999891e+02,-9.036005823110251356e+01
4.663704960937500346e+02,-9.379594458444968552e+01
4.663707890625000232e+02,-9.647157974857168483e+01
4.663710820312500118e+02,-8.867558364029582663e+01
4.663713750000000005e+02,-8.830073792573097080e+01
4.663716679687499891e+02,-1.235100166170671798e+02
4.663719609375000346e+02,-1.019138572579912534e+02
4.663722539062500232e+02,-9.333641197825349423e+01
4.663725468750000118e+02,-8.878334002435769889e+01
4.663728398437500005e+02,-8.463123399971851768e+01
4.663731328124999891e+02,-8.701169245600797808e+01
4.663734257812500346e+02,-9.237975369634325773e+01
4.663737187500000232e+02,-9.101196085311842410e+01
4.663740117187500118e+02,-9.969798194317149864e+01
4.663743046875000005e+02,-1.008917805517912996e+02
4.663745976562499891e+02,-9.840855161641761129e+01
4.663748906250000346e+02,-8.873219579399284385e+01
4.663751835937500232e+02,-8.829047953891979716e+01
4.663754765625000118e+02,-9.612488503927229999e+01
4.663757695312500005e+02,-9.097185226518787715e+01
4.663760624999999891e+02,-1.094055683134321413e+02
4.663763554687500346e+02,-9.166580181864370047e+01
4.663766484375000232e+02,-8.945265163150733656e+01
4.663769414062500118e+02,-9.488791098481701169e+01
4.663772343750000005e+02,-8.786484372145187649e+01
4.663775273437499891e+02,-9.134505168394835550e+01
4.663778203125000346e+02,-9.612376880112685740e+01
4.663781132812500232e+02,-1.003864509479747653e+02
4.663784062500000118e+02,-9.959395919533267261e+01
4.663786992187500005e+02,-1.002529829998792934e+02
4.663789921874999891e+02,-1.015488455740050568e+02
4.663792851562500346e+02,-8.840950685386636110e+01
4.663795781250000232e+02,-8.479879495381206311e+01
4.663798710937500118e+02,-1.004330927717195578e+02
4.663801640625000005e+02,-9.205346532288265848e+01
4.663804570312499891e+02,-9.163441301147247486e+01
4.663807500000000346e+02,-8.763386542962953740e+01
4.663810429687500232e+02,-8.771582265584130766e+01
