Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-9.955831115212183136e+01
4.663622929687500118e+02,-1.070488300960970918e+02
4.663625859375000005e+02,-9.924684912513686186e+01
4.663628789062499891e+02,-9.809663495666869437e+01
4.663631718750000346e+02,-9.815866123673229993e+01
4.663634648437500232e+02,-9.992062644510167502e+01
4.663637578125000118e+02,-1.033196671546920982e+02
4.663640507812500005e+02,-1.060139981714718402e+02
4.663643437499999891e+02,-1.110111520182672251e+02
4.663646367187500346e+02,-9.956477798280167235e+01
4.663649296875000232e+02,-9.471612911398379708e+01
4.663652226562500118e+02,-9.923632615191594653e+01
4.663655156250000005e+02,-9.795494963113306142e+01
4.663658085937499891e+02,-9.738341110920774213e+01
4.663661015625000346e+02,-9.922208577724688894e+01
4.663663945312500232e+02,-9.927606139748944258e+01
4.663666875000000118e+02,-1.038795647028364897e+02
4.663669804687500005e+02,-1.007944602143173825e+02
4.663672734374999891e+02,-9.752421146839392918e+01
4.663675664062500346e+02,-1.051703622653722761e+02
4.663678593750000232e+02,-1.052027783831450023e+02
4.663681523437500118e+02,-1.025429246090690754e+02
4.663684453125000005e+02,-1.003231355738925714e+02
4.663687382812499891e+02,-9.638198500658653245e+01
4.663690312500000346e+02,-1.026245313473412324e+02
4.663693242187500232e+02,-9.967402960934199996e+01
4.663696171875000118e+02,-1.001986244795607917e+02
4.663699101562500005e+02,-9.562425023142213831e+01
4.663702031249999891e+02,-9.377513207387769967e+01
4.663704960937500346e+02,-1.027461833546373953e+02
4.663707890625000232e+02,-1.020996189872732742e+02
4.663710820312500118e+02,-1.019573448867362231e+02
4.663713750000000005e+02,-1.034204201150565154e+02
4.663716679687499891e+02,-1.068209555769495722e+02
4.663719609375000346e+02,-1.017843416584310177e+02
4.663722539062500232e+02,-9.830064286173143273e+01
4.663725468750000118e+02,-9.950901576686163708e+01
4.663728398437500005e+02,-9.840083568840088901e+01
4.663731328124999891e+02,-1.052584567973897549e+02
4.663734257812500346e+02,-9.625149072280430573e+01
4.663737187500000232e+02,-9.451249443519274962e+01
4.663740117187500118e+02,-9.879819460136920384e+01
4.663743046875000005e+02,-9.796925947754701269e+01
4.663745976562499891e+02,-9.752607769309202013e+01
4.663748906250000346e+02,-9.921032109024966417e+01
4.663751835937500232e+02,-9.919119735165864427e+01
4.663754765625000118e+02,-1.050636522608917574e+02
