Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-8.763072603185156595e+01
4.663622929687500118e+02,-9.784257804542963299e+01
4.663625859375000005e+02,-9.348357581069605260e+01
4.663628789062499891e+02,-8.958553301184727502e+01
4.663631718750000346e+02,-9.246915106788017624e+01
4.663634648437500232e+02,-9.070187368711145837e+01
4.663637578125000118e+02,-8.505664010462147928e+01
4.663640507812500005e+02,-9.293822370744288719e+01
4.663643437499999891e+02,-9.095101604780703042e+01
4.663646367187500346e+02,-9.012235810552877524e+01
4.663649296875000232e+02,-8.758946172053023815e+01
4.663652226562500118e+02,-8.667722714741910295e+01
4.663655156250000005e+02,-8.760374905336540508e+01
4.663658085937499891e+02,-8.982317448587949116e+01
4.663661015625000346e+02,-8.639439877255719580e+01
4.663663945312500232e+02,-8.476655566069931069e+01
4.663666875000000118e+02,-8.865063393164820127e+01
4.663669804687500005e+02,-8.628363116306911706e+01
4.663672734374999891e+02,-8.546085132495949210e+01
4.663675664062500346e+02,-9.629024676178335085e+01
4.663678593750000232e+02,-9.426731761012919719e+01
4.663681523437500118e+02,-9.485005603350208503e+01
4.663684453125000005e+02,-9.054478542770935690e+01
4.663687382812499891e+02,-1.005620158386952454e+02
4.663690312500000346e+02,-1.058662022840421741e+02
4.663693242187500232e+02,-9.515575362936579040e+01
4.663696171875000118e+02,-9.328585611000413280e+01
4.663699101562500005e+02,-9.201609769698406183e+01
4.663702031249999891e+02,-9.063548961211250798e+01
4.663704960937500346e+02,-8.772634208646339005e+01
4.663707890625000232e+02,-8.680883663289364449e+01
4.663710820312500118e+02,-9.844707027541156208e+01
4.663713750000000005e+02,-9.327570726780392363e+01
4.663716679687499891e+02,-9.047537379242203315e+01
4.663719609375000346e+02,-9.307611520059663235e+01
4.663722539062500232e+02,-9.696172343913815439e+01
4.663725468750000118e+02,-9.875411653586914440e+01
4.663728398437500005e+02,-9.504724468699571105e+01
4.663731328124999891e+02,-8.828846293307663018e+01
4.663734257812500346e+02,-8.886542662948508564e+01
4.663737187500000232e+02,-9.345148534292506781e+01
4.663740117187500118e+02,-8.570960803900588587e+01
4.663743046875000005e+02,-9.222768702762068926e+01
4.663745976562499891e+02,-8.924169865502463495e+01
4.663748906250000346e+02,-8.629833873404962219e+01
4.663751835937500232e+02,-9.609397965812257780e+01
4.663754765625000118e+02,-9.030175290338524974e+01
4.663757695312500005e+02,-8.889170605112413170e+01
4.663760624999999891e+02,-1.066713651672850744e+02
4.663763554687500346e+02,-9.166681987844987134e+01
4.663766484375000232e+02,-9.199847801816000015e+01
4.663769414062500118e+02,-9.240928371197227875e+01
4.663772343750000005e+02,-9.055075586609432037e+01
4.663775273437499891e+02,-8.864456725681370131e+01
4.663778203125000346e+02,-9.233659243213550383e+01
4.663781132812500232e+02,-9.416038486827559950e+01
4.663784062500000118e+02,-9.585611107112350737e+01
4.663786992187500005e+02,-9.849143061483873396e+01
4.663789921874999891e+02,-9.160281234187571897e+01
4.663792851562500346e+02,-9.203379744485496872e+01
4.663795781250000232e+02,-9.577386622062539345e+01
4.663798710937500118e+02,-9.252259712801873093e+01
4.663801640625000005e+02,-9.008461438017732803e+01
