Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-1.144888856040496137e+02
4.663622929687500118e+02,-1.120118434046200093e+02
4.663625859375000005e+02,-1.230226152151244889e+02
4.663628789062499891e+02,-1.033902017790508125e+02
4.663631718750000346e+02,-1.024320551624237225e+02
4.663634648437500232e+02,-1.019869785670900058e+02
4.663637578125000118e+02,-9.836889475729890364e+01
4.663640507812500005e+02,-1.021736671841809141e+02
4.663643437499999891e+02,-1.078109241419844295e+02
4.663646367187500346e+02,-1.035404304937725328e+02
4.663649296875000232e+02,-1.114945139936100560e+02
4.663652226562500118e+02,-1.124928210544893403e+02
4.663655156250000005e+02,-1.119634352358224874e+02
4.663658085937499891e+02,-1.049764401320056919e+02
4.663661015625000346e+02,-1.084063246079775809e+02
4.663663945312500232e+02,-1.060072852351607366e+02
4.663666875000000118e+02,-1.064270862019642294e+02
4.663669804687500005e+02,-1.102748180089100885e+02
4.663672734374999891e+02,-1.134848197637425784e+02
4.663675664062500346e+02,-1.075628060690733747e+02
4.663678593750000232e+02,-1.151038351766246421e+02
4.663681523437500118e+02,-1.168707028152574168e+02
4.663684453125000005e+02,-1.111819048968593080e+02
4.663687382812499891e+02,-1.070300616989081277e+02
4.663690312500000346e+02,-1.116145511692080419e+02
4.663693242187500232e+02,-1.064771290215318231e+02
4.663696171875000118e+02,-1.159393213558773681e+02
4.663699101562500005e+02,-1.086221803603463485e+02
4.663702031249999891e+02,-1.048082616061369521e+02
4.663704960937500346e+02,-1.068039944263925491e+02
4.663707890625000232e+02,-1.121934913893557848e+02
4.663710820312500118e+02,-1.223411415651897585e+02
4.663713750000000005e+02,-1.069905607555201073e+02
4.663716679687499891e+02,-1.085064067357285609e+02
4.663719609375000346e+02,-1.095687481582900915e+02
4.663722539062500232e+02,-1.128933798972905151e+02
4.663725468750000118e+02,-1.111172853509266503e+02
4.663728398437500005e+02,-1.144154489222053144e+02
4.663731328124999891e+02,-1.119944086288498681e+02
4.663734257812500346e+02,-1.078001693903271985e+02
4.663737187500000232e+02,-1.089989488404196152e+02
4.663740117187500118e+02,-1.102730018926966835e+02
4.663743046875000005e+02,-1.145125438496831123e+02
4.663745976562499891e+02,-1.040268357820628609e+02
4.663748906250000346e+02,-1.028125129985002673e+02
4.663751835937500232e+02,-1.056253451295701353e+02
4.663754765625000118e+02,-1.048452998899843891e+02
4.663757695312500005e+02,-1.111173570427697967e+02
4.663760624999999891e+02,-1.101798756553851746e+02
4.663763554687500346e+02,-1.036260071839930816e+02
4.663766484375000232e+02,-1.049353836940154849e+02
4.663769414062500118e+02,-1.096511159732170739e+02
4.663772343750000005e+02,-1.036104632507540941e+02
4.663775273437499891e+02,-9.825283230359278264e+01
4.663778203125000346e+02,-1.036987570278589033e+02
4.663781132812500232e+02,-1.034032113156681589e+02
4.663784062500000118e+02,-1.082441974788174264e+02
4.663786992187500005e+02,-1.101239303803510126e+02
4.663789921874999891e+02,-1.102929615189410413e+02
4.663792851562500346e+02,-1.084846489031025385e+02
4.663795781250000232e+02,-1.075737288837737395e+02
