Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-1.054350186702772021e+02
4.663622929687500118e+02,-1.065496228949816384e+02
4.663625859375000005e+02,-1.019161542626056303e+02
4.663628789062499891e+02,-1.012210739242905646e+02
4.663631718750000346e+02,-1.123853418873708847e+02
4.663634648437500232e+02,-1.206451648782511086e+02
4.663637578125000118e+02,-1.105251481948935890e+02
4.663640507812500005e+02,-1.141490587514920065e+02
4.663643437499999891e+02,-1.108302344721101917e+02
4.663646367187500346e+02,-1.084453337993784459e+02
4.663649296875000232e+02,-1.139806673628814195e+02
4.663652226562500118e+02,-1.150840240374135135e+02
4.663655156250000005e+02,-1.125365027662206217e+02
4.663658085937499891e+02,-1.141265493949038188e+02
4.663661015625000346e+02,-1.201829489918613945e+02
4.663663945312500232e+02,-1.090120609624148074e+02
4.663666875000000118e+02,-1.056718417601724695e+02
4.663669804687500005e+02,-1.040341925051029932e+02
4.663672734374999891e+02,-1.038272530212095717e+02
4.663675664062500346e+02,-1.129857577634162027e+02
4.663678593750000232e+02,-1.215908413578907528e+02
4.663681523437500118e+02,-1.143842706968705727e+02
4.663684453125000005e+02,-1.206726996464645509e+02
4.663687382812499891e+02,-1.108667056669644637e+02
4.663690312500000346e+02,-1.096855389947571098e+02
4.663693242187500232e+02,-1.188619770155337818e+02
4.663696171875000118e+02,-1.202464221872571670e+02
4.663699101562500005e+02,-1.102726145751204143e+02
4.663702031249999891e+02,-1.138446199019868459e+02
4.663704960937500346e+02,-1.208880559459969959e+02
4.663707890625000232e+02,-1.090923627411709731e+02
4.663710820312500118e+02,-1.046955213558588440e+02
4.663713750000000005e+02,-1.079587545834633744e+02
4.663716679687499891e+02,-1.136932239450040072e+02
4.663719609375000346e+02,-1.236252101225619384e+02
4.663722539062500232e+02,-1.111092767965683805e+02
4.663725468750000118e+02,-1.092407823462448704e+02
4.663728398437500005e+02,-1.143590418744059747e+02
4.663731328124999891e+02,-1.189152811551066407e+02
4.663734257812500346e+02,-1.131234652434368257e+02
4.663737187500000232e+02,-1.197404400053855227e+02
4.663740117187500118e+02,-1.056439060316224641e+02
4.663743046875000005e+02,-1.020947154313795693e+02
4.663745976562499891e+02,-1.184340731926069168e+02
4.663748906250000346e+02,-1.081020347606576308e+02
4.663751835937500232e+02,-1.105130476137235291e+02
4.663754765625000118e+02,-1.083748925566241326e+02
4.663757695312500005e+02,-1.072966592715177256e+02
4.663760624999999891e+02,-1.089045783097026430e+02
4.663763554687500346e+02,-1.123852628114266849e+02
4.663766484375000232e+02,-1.124576329191934860e+02
4.663769414062500118e+02,-1.112678553928300289e+02
4.663772343750000005e+02,-1.024385572191419840e+02
4.663775273437499891e+02,-9.799202884462513907e+01
4.663778203125000346e+02,-1.073129158998088570e+02
4.663781132812500232e+02,-1.141119234767047317e+02
4.663784062500000118e+02,-1.296135645987564828e+02
4.663786992187500005e+02,-1.172411726968772570e+02
4.663789921874999891e+02,-1.069021223939857066e+02
4.663792851562500346e+02,-1.085213217422324021e+02
4.663795781250000232e+02,-1.096088723590922456e+02
4.663798710937500118e+02,-1.056828383569765037e+02
4.663801640625000005e+02,-1.080446052112380926e+02
4.663804570312499891e+02,-1.056925752729149792e+02
4.663807500000000346e+02,-1.195943050161992716e+02
4.663810429687500232e+02,-1.039873457340173815e+02
4.663813359375000118e+02,-1.068525873001706685e+02
4.663816289062500005e+02,-1.073896989695539048e+02
4.663819218749999891e+02,-1.238443744773273636e+02
4.663822148437500346e+02,-1.128903559217345958e+02
4.663825078125000232e+02,-1.105669126553368926e+02
4.663828007812500118e+02,-1.101862408743495081e+02
4.663830937500000005e+02,-1.086568368978710168e+02
4.663833867187499891e+02,-1.082749129577715905e+02
4.663836796875000346e+02,-1.088989795239891691e+02
4.663839726562500232e+02,-1.081038477794139681e+02
4.663842656250000118e+02,-1.084079241636602831e+02
4.663845585937500005e+02,-1.073571106496284955e+02
4.663848515624999891e+02,-1.128593473661604776e+02
4.663851445312500346e+02,-1.088730472400513491e+02
4.663854375000000232e+02,-1.054819237662836429e+02
4.663857304687500118e+02,-1.026656681749490190e+02
4.663860234375000005e+02,-1.085079704613326612e+02
4.663863164062499891e+02,-1.036302604128073312e+02
4.663866093750000346e+02,-1.056674532959066113e+02
4.663869023437500232e+02,-1.183731840085726361e+02
4.663871953125000118e+02,-1.092214875285250599e+02
4.663874882812500005e+02,-1.150144211908553160e+02
4.663877812499999891e+02,-1.195768475308632048e+02
4.663880742187500346e+02,-1.073986279901555747e+02
4.663883671875000232e+02,-1.234442037264632290e+02
4.663886601562500118e+02,-1.191690858496951790e+02
4.663889531250000005e+02,-1.153728314177745204e+02
4.663892460937499891e+02,-1.130084945805792387e+02
4.663895390625000346e+02,-1.155356337559346400e+02
4.663898320312500232e+02,-1.059777312464040477e+02
4.663901250000000118e+02,-1.090844503920550039e+02
4.663904179687500005e+02,-1.185029068397700485e+02
4.663907109374999891e+02,-1.057063346605728782e+02
4.663910039062500346e+02,-1.044620752672537520e+02
4.663912968750000232e+02,-1.120537775672148229e+02
4.663915898437500118e+02,-1.223812702672317556e+02
4.663918828125000005e+02,-1.279945448443442046e+02
4.663921757812499891e+02,-1.106571409644087112e+02
4.663924687500000346e+02,-1.178435051755995175e+02
4.663927617187500232e+02,-1.096609696908825669e+02
4.663930546875000118e+02,-1.146575027788304482e+02
4.663933476562500005e+02,-1.120919934005087839e+02
4.663936406249999891e+02,-1.022721190830780529e+02
4.663939335937500346e+02,-1.100634073804073267e+02
4.663942265625000232e+02,-1.149353508372307289e+02
4.663945195312500118e+02,-1.110715972396301368e+02
4.663948125000000005e+02,-1.101548247609196949e+02
4.663951054687499891e+02,-1.074566353859866865e+02
4.663953984375000346e+02,-1.102588793393015720e+02
4.663956914062500232e+02,-1.140716725120698243e+02
4.663959843750000118e+02,-1.116831360619492273e+02
4.663962773437500005e+02,-1.230451515194111067e+02
4.663965703124999891e+02,-1.082502378343409362e+02
4.663968632812500346e+02,-1.035414780456677590e+02
4.663971562500000232e+02,-1.244402682057746432e+02
4.663974492187500118e+02,-1.376758242936855368e+02
4.663977421875000005e+02,-1.257740649683566687e+02
4.663980351562499891e+02,-1.331325583241192305e+02
4.663983281250000346e+02,-1.126278710121691233e+02
4.663986210937500232e+02,-1.104230796791556486e+02
4.663989140625000118e+02,-1.112574078364649068e+02
4.663992070312500005e+02,-1.307961796766486771e+02
4.663994999999999891e+02,-1.117886414843384273e+02
4.663997929687500346e+02,-1.288525287797102976e+02
4.664000859375000232e+02,-1.032179375858788859e+02
4.664003789062500118e+02,-1.030190883578322882e+02
4.664006718750000005e+02,-1.154871052494197556e+02
4.664009648437499891e+02,-1.058663522482711272e+02
4.664012578125000346e+02,-1.046399159790098707e+02
4.664015507812500232e+02,-1.095435590813663111e+02
4.664018437500000118e+02,-1.088508099896528449e+02
4.664021367187500005e+02,-1.089048398247670804e+02
4.664024296874999891e+02,-1.085739617101055501e+02
4.664027226562500346e+02,-1.076362758993024329e+02
4.664030156250000232e+02,-1.096370072665321231e+02
4.664033085937500118e+02,-1.124617824028797486e+02
4.664036015625000005e+02,-1.082144528666462833e+02
4.664038945312499891e+02,-1.234106972721801867e+02
4.664041875000000346e+02,-1.217221478973542332e+02
4.664044804687500232e+02,-1.265751888180853371e+02
