Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-9.056814626973513782e+01
4.663622929687500118e+02,-9.017616581631040162e+01
4.663625859375000005e+02,-8.660564437449836817e+01
4.663628789062499891e+02,-1.030729277953578560e+02
4.663631718750000346e+02,-8.624027846843080169e+01
4.663634648437500232e+02,-8.237945201290983732e+01
4.663637578125000118e+02,-8.270737488388508041e+01
4.663640507812500005e+02,-7.933375300933809626e+01
4.663643437499999891e+02,-8.178903860506467538e+01
4.663646367187500346e+02,-8.801639643974839089e+01
4.663649296875000232e+02,-9.404188955898094093e+01
4.663652226562500118e+02,-9.332207984870242967e+01
4.663655156250000005e+02,-9.181501038461010467e+01
4.663658085937499891e+02,-8.798585446683290456e+01
4.663661015625000346e+02,-8.561748029569716323e+01
4.663663945312500232e+02,-8.532244106038733378e+01
4.663666875000000118e+02,-8.295512096013416681e+01
4.663669804687500005e+02,-7.946664221402086525e+01
4.663672734374999891e+02,-8.402815330302759378e+01
4.663675664062500346e+02,-9.133832466995146149e+01
4.663678593750000232e+02,-9.239739084005418590e+01
4.663681523437500118e+02,-8.601159330925926838e+01
4.663684453125000005e+02,-8.977754997498490752e+01
4.663687382812499891e+02,-9.166981476034496268e+01
4.663690312500000346e+02,-9.116894269632693693e+01
4.663693242187500232e+02,-1.015251404339178691e+02
4.663696171875000118e+02,-8.253211374183112525e+01
4.663699101562500005e+02,-8.122571546033699974e+01
4.663702031249999891e+02,-9.296663187259206040e+01
4.663704960937500346e+02,-8.569017276191738119e+01
4.663707890625000232e+02,-8.402918053437159074e+01
4.663710820312500118e+02,-8.635984941970974660e+01
4.663713750000000005e+02,-8.935843904390061709e+01
4.663716679687499891e+02,-9.094942928388036307e+01
4.663719609375000346e+02,-8.505822646867302694e+01
4.663722539062500232e+02,-1.036750059076278205e+02
4.663725468750000118e+02,-8.175986623852919877e+01
4.663728398437500005e+02,-9.202039830723792591e+01
4.663731328124999891e+02,-8.159869798875119784e+01
4.663734257812500346e+02,-8.386373119419098998e+01
4.663737187500000232e+02,-8.853975713484111054e+01
4.663740117187500118e+02,-8.680163694249095840e+01
4.663743046875000005e+02,-8.954322103664847532e+01
4.663745976562499891e+02,-8.589049370558799978e+01
4.663748906250000346e+02,-8.490363140446221735e+01
4.663751835937500232e+02,-8.558663416672230539e+01
4.663754765625000118e+02,-8.634345179420751037e+01
4.663757695312500005e+02,-8.275898835367009099e+01
4.663760624999999891e+02,-8.068159461898358131e+01
4.663763554687500346e+02,-8.805018055502961261e+01
4.663766484375000232e+02,-9.020281367841707265e+01
4.663769414062500118e+02,-9.318825575945028561e+01
4.663772343750000005e+02,-9.449692532828463243e+01
4.663775273437499891e+02,-8.700212059422561595e+01
4.663778203125000346e+02,-8.920513645739958974e+01
4.663781132812500232e+02,-9.517370226415749812e+01
4.663784062500000118e+02,-8.935694439496290897e+01
4.663786992187500005e+02,-8.041332991834140387e+01
4.663789921874999891e+02,-8.328620739423881503e+01
4.663792851562500346e+02,-9.807079961012007630e+01
4.663795781250000232e+02,-8.749460801116936182e+01
4.663798710937500118e+02,-8.952512740343547648e+01
4.663801640625000005e+02,-9.252546766721283689e+01
4.663804570312499891e+02,-8.926528256737981337e+01
4.663807500000000346e+02,-8.910438738988474938e+01
4.663810429687500232e+02,-9.666896530556894618e+01
4.663813359375000118e+02,-8.110966988376425491e+01
4.663816289062500005e+02,-8.003277785333321503e+01
4.663819218749999891e+02,-8.155428856258616577e+01
4.663822148437500346e+02,-8.411518913520040996e+01
4.663825078125000232e+02,-8.206525948158142114e+01
4.663828007812500118e+02,-8.046871233283030733e+01
4.663830937500000005e+02,-8.668493900761268378e+01
4.663833867187499891e+02,-8.971171237415038036e+01
