Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-1.060881389020585317e+02
4.663622929687500118e+02,-1.099078138261974686e+02
4.663625859375000005e+02,-1.023275587094344132e+02
4.663628789062499891e+02,-1.042117963826588465e+02
4.663631718750000346e+02,-1.078415545329253007e+02
4.663634648437500232e+02,-9.873323094203927042e+01
4.663637578125000118e+02,-1.078189667785620713e+02
4.663640507812500005e+02,-1.098959638856451306e+02
4.663643437499999891e+02,-9.585409501637448670e+01
4.663646367187500346e+02,-1.035215234089710066e+02
4.663649296875000232e+02,-9.830689081759130943e+01
4.663652226562500118e+02,-1.003399801683740833e+02
4.663655156250000005e+02,-9.789646456636360483e+01
4.663658085937499891e+02,-1.080954941093199011e+02
4.663661015625000346e+02,-1.193363216194967293e+02
4.663663945312500232e+02,-1.054604168134068090e+02
4.663666875000000118e+02,-1.209103175775805852e+02
4.663669804687500005e+02,-9.907758571255043023e+01
4.663672734374999891e+02,-9.905074137362575470e+01
4.663675664062500346e+02,-9.698307213369344026e+01
4.663678593750000232e+02,-9.337818138536906076e+01
4.663681523437500118e+02,-1.076602341313822819e+02
4.663684453125000005e+02,-9.859474835722622288e+01
4.663687382812499891e+02,-1.005515769317465242e+02
4.663690312500000346e+02,-9.697384511460187184e+01
4.663693242187500232e+02,-1.034441618245683827e+02
4.663696171875000118e+02,-1.062986378663511857e+02
4.663699101562500005e+02,-1.084023995413277248e+02
4.663702031249999891e+02,-9.927877033640042725e+01
4.663704960937500346e+02,-9.780401832007643748e+01
4.663707890625000232e+02,-1.083734419600866374e+02
4.663710820312500118e+02,-1.011234897855391921e+02
4.663713750000000005e+02,-9.824528976211124132e+01
4.663716679687499891e+02,-1.051775253641617383e+02
4.663719609375000346e+02,-1.039439685835279477e+02
4.663722539062500232e+02,-9.947948237995527165e+01
4.663725468750000118e+02,-1.045879803694577959e+02
4.663728398437500005e+02,-1.067889534772956637e+02
4.663731328124999891e+02,-1.087628579337573171e+02
4.663734257812500346e+02,-1.096449718345444779e+02
